"Gene_symbol"	"   Genes"	"Freq"
"FKBP5"	"FK506 binding protein 5"	"1"
"FLNA"	"filamin A, alpha"	"1"
"FOXQ1"	"forkhead box Q1"	"1"
"FUS"	"fused in sarcoma"	"1"
"GABARAP"	"GABA(A) receptor-associated protein"	"1"
"GABRB1"	"gamma-aminobutyric acid (GABA) A receptor, beta 1"	"1"
"GABRB3"	"gamma-aminobutyric acid (GABA) A receptor, beta 3"	"1"
"GALNT2"	"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2)"	"1"
"GALNT12"	"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12 (GalNAc-T12)"	"1"
"GAS6"	"growth arrest-specific 6"	"1"
"GCK"	"glucokinase (hexokinase 4)"	"1"
"GDPD5"	"glycerophosphodiester phosphodiesterase domain containing 5"	"1"
"GEMIN4"	"gem (nuclear organelle) associated protein 4"	"1"
"GJB2"	"gap junction protein, beta 2, 26kDa"	"1"
"GJC1"	"gap junction protein, gamma 1, 45kDa"	"1"
"GLCCI1"	"glucocorticoid induced transcript 1"	"1"
"GOLT1A"	"golgi transport 1A"	"1"
"GPR3"	"G protein-coupled receptor 3"	"1"
"GPRIN3"	"GPRIN family member 3"	"1"
"GRHL2"	"grainyhead-like 2 (Drosophila)"	"1"
"GRN"	"granulin"	"1"
"GTF2H5"	"general transcription factor IIH, polypeptide 5"	"1"
"GTF3C5"	"general transcription factor IIIC, polypeptide 5, 63kDa"	"1"
"GUCY1A3"	"guanylate cyclase 1, soluble, alpha 3"	"1"
"GUCY1B3"	"guanylate cyclase 1, soluble, beta 3"	"1"
"GYPA"	"glycophorin A (MNS blood group)"	"1"
"H3F3C"	"H3 histone, family 3C"	"1"
"HAND1"	"heart and neural crest derivatives expressed 1"	"1"
"HAND2"	"heart and neural crest derivatives expressed 2"	"1"
"HAP1"	"huntingtin-associated protein 1"	"1"
"HBZ"	"hemoglobin, zeta"	"1"
"HCN4"	"hyperpolarization activated cyclic nucleotide-gated potassium channel 4"	"1"
"HDAC8"	"histone deacetylase 8"	"1"
"HDAC10"	"histone deacetylase 10"	"1"
"HDAC11"	"histone deacetylase 11"	"1"
"HDX"	"highly divergent homeobox"	"1"
"HERC2"	"HECT and RLD domain containing E3 ubiquitin protein ligase 2"	"1"
"HES5"	"hairy and enhancer of split 5 (Drosophila)"	"1"
"HLA-B"	"major histocompatibility complex, class I, B"	"1"
"HLTF"	"helicase-like transcription factor"	"1"
"HMGB3"	"high mobility group box 3"	"1"
"HMGCL"	"3-hydroxymethyl-3-methylglutaryl-CoA lyase"	"1"
"HMGCR"	"3-hydroxy-3-methylglutaryl-CoA reductase"	"1"
"HNF4G"	"hepatocyte nuclear factor 4, gamma"	"1"
"HNRNPA2B1"	"heterogeneous nuclear ribonucleoprotein A2/B1"	"1"
"HOXA4"	"homeobox A4"	"1"
"HOXA5"	"homeobox A5"	"1"
"HOXA6"	"homeobox A6"	"1"
"HOXA7"	"homeobox A7"	"1"
"HOXB13"	"homeobox B13"	"1"
"HOXD12"	"homeobox D12"	"1"
"HRH4"	"histamine receptor H4"	"1"
"HUWE1"	"HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase"	"1"
"IDO1"	"indoleamine 2,3-dioxygenase 1"	"1"
"IFNG"	"interferon, gamma"	"1"
"IGLL5"	"immunoglobulin lambda-like polypeptide 5"	"1"
"IKZF1"	"IKAROS family zinc finger 1 (Ikaros)"	"1"
"IL1A"	"interleukin 1, alpha"	"1"
"IL1B"	"interleukin 1, beta"	"1"
"IL2"	"interleukin 2"	"1"
"IL4"	"interleukin 4"	"1"
"IL7"	"interleukin 7"	"1"
"IL10"	"interleukin 10"	"1"
"IL15RA"	"interleukin 15 receptor, alpha"	"1"
"ILF2"	"interleukin enhancer binding factor 2"	"1"
"IMPACT"	"impact RWD domain protein"	"1"
"INSM2"	"insulinoma-associated 2"	"1"
"IRAK1"	"interleukin-1 receptor-associated kinase 1"	"1"
"IRF2"	"interferon regulatory factor 2"	"1"
"IRF6"	"interferon regulatory factor 6"	"1"
"ISG15"	"ISG15 ubiquitin-like modifier"	"1"
"ITGAL"	"integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)"	"1"
"ITSN1"	"intersectin 1 (SH3 domain protein)"	"1"
"JAG1"	"jagged 1"	"1"
"JAK3"	"Janus kinase 3"	"1"
"JDP2"	"Jun dimerization protein 2"	"1"
"JHDM1D"	"jumonji C domain containing histone demethylase 1 homolog D (S. cerevisiae)"	"1"
"KAT6A"	"K(lysine) acetyltransferase 6A"	"1"
"KCNQ1"	"potassium voltage-gated channel, KQT-like subfamily, member 1"	"1"
"KDM5C"	"lysine (K)-specific demethylase 5C"	"1"
"KDM6A"	"lysine (K)-specific demethylase 6A"	"1"
"KEAP1"	"kelch-like ECH-associated protein 1"	"1"
"KLK3"	"kallikrein-related peptidase 3"	"1"
"KLLN"	"killin, p53-regulated DNA replication inhibitor"	"1"
"KRT7"	"keratin 7"	"1"
"KRT18"	"keratin 18"	"1"
"KRTAP19-1"	"keratin associated protein 19-1"	"1"
"LAMC2"	"laminin, gamma 2"	"1"
"LAMP1"	"lysosomal-associated membrane protein 1"	"1"
"LCAT"	"lecithin-cholesterol acyltransferase"	"1"
"LCP1"	"lymphocyte cytosolic protein 1 (L-plastin)"	"1"
"LEPREL1"	"leprecan-like 1"	"1"
"LGALS1"	"lectin, galactoside-binding, soluble, 1"	"1"
"LIF"	"leukemia inhibitory factor"	"1"
"LILRA3"	"leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 3"	"1"
"LIN28A"	"lin-28 homolog A (C. elegans)"	"1"
"LIPC"	"lipase, hepatic"	"1"
"LIPG"	"lipase, endothelial"	"1"
"LMO1"	"LIM domain only 1 (rhombotin 1)"	"1"
"LOX"	"lysyl oxidase"	"1"
"LPCAT1"	"lysophosphatidylcholine acyltransferase 1"	"1"
"LPL"	"lipoprotein lipase"	"1"
"LPP"	"LIM domain containing preferred translocation partner in lipoma"	"1"
"LRP1B"	"low density lipoprotein receptor-related protein 1B"	"1"
"LRP4"	"low density lipoprotein receptor-related protein 4"	"1"
"LTA"	"lymphotoxin alpha (TNF superfamily, member 1)"	"1"
"MAF1"	"MAF1 homolog (S. cerevisiae)"	"1"
"MAFB"	"v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)"	"1"
"MAFF"	"v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)"	"1"
"MAFK"	"v-maf musculoaponeurotic fibrosarcoma oncogene homolog K (avian)"	"1"
"MAGI2"	"membrane associated guanylate kinase, WW and PDZ domain containing 2"	"1"
"MAOA"	"monoamine oxidase A"	"1"
"MAP3K3"	"mitogen-activated protein kinase kinase kinase 3"	"1"
"MAP3K4"	"mitogen-activated protein kinase kinase kinase 4"	"1"
"MARS"	"methionyl-tRNA synthetase"	"1"
"MAU2"	"MAU2 chromatid cohesion factor homolog (C. elegans)"	"1"
"MAVS"	"mitochondrial antiviral signaling protein"	"1"
"MAZ"	"MYC-associated zinc finger protein (purine-binding transcription factor)"	"1"
"MC4R"	"melanocortin 4 receptor"	"1"
"MCM2"	"minichromosome maintenance complex component 2"	"1"
"MDC1"	"mediator of DNA-damage checkpoint 1"	"1"
"MDM4"	"Mdm4 p53 binding protein homolog (mouse)"	"1"
"MECOM"	"MDS1 and EVI1 complex locus"	"1"
"MECP2"	"methyl CpG binding protein 2 (Rett syndrome)"	"1"
"MED12"	"mediator complex subunit 12"	"1"
"MEF2A"	"myocyte enhancer factor 2A"	"1"
"MEIS2"	"Meis homeobox 2"	"1"
"MFN1"	"mitofusin 1"	"1"
"MICA"	"MHC class I polypeptide-related sequence A"	"1"
"MICB"	"MHC class I polypeptide-related sequence B"	"1"
"MKI67"	"antigen identified by monoclonal antibody Ki-67"	"1"
"MLL2"	"myeloid/lymphoid or mixed-lineage leukemia 2"	"1"
"MLL3"	"myeloid/lymphoid or mixed-lineage leukemia 3"	"1"
"MLST8"	"MTOR associated protein, LST8 homolog (S. cerevisiae)"	"1"
"MNT"	"MNT, MAX dimerization protein"	"1"
"MPO"	"myeloperoxidase"	"1"
"MSH4"	"mutS homolog 4 (E. coli)"	"1"
"MSH6"	"mutS homolog 6 (E. coli)"	"1"
"MTMR6"	"myotubularin related protein 6"	"1"
"MUC5B"	"mucin 5B, oligomeric mucus/gel-forming"	"1"
"MXI1"	"MAX interactor 1, dimerization protein"	"1"
"MYOF"	"myoferlin"	"1"
"MYT1L"	"myelin transcription factor 1-like"	"1"
"NAPA"	"N-ethylmaleimide-sensitive factor attachment protein, alpha"	"1"
"NASP"	"nuclear autoantigenic sperm protein (histone-binding)"	"1"
"NDN"	"necdin, melanoma antigen (MAGE) family member"	"1"
"NDRG4"	"NDRG family member 4"	"1"
"NEDD9"	"neural precursor cell expressed, developmentally down-regulated 9"	"1"
"NEUROD4"	"neuronal differentiation 4"	"1"
"NEUROG3"	"neurogenin 3"	"1"
"NFE2"	"nuclear factor (erythroid-derived 2), 45kDa"	"1"
"NFRKB"	"nuclear factor related to kappaB binding protein"	"1"
"NGF"	"nerve growth factor (beta polypeptide)"	"1"
"NLK"	"nemo-like kinase"	"1"
"NOD2"	"nucleotide-binding oligomerization domain containing 2"	"1"
"NOTCH2"	"notch 2"	"1"
"NOV"	"nephroblastoma overexpressed"	"1"
"NOX1"	"NADPH oxidase 1"	"1"
"NR2F6"	"nuclear receptor subfamily 2, group F, member 6"	"1"
"OCLN"	"occludin"	"1"
"OGT"	"O-linked N-acetylglucosamine (GlcNAc) transferase"	"1"
"OLFM4"	"olfactomedin 4"	"1"
"ORC2"	"origin recognition complex, subunit 2"	"1"
"OSM"	"oncostatin M"	"1"
"OTOP1"	"otopetrin 1"	"1"
"PAGE5"	"P antigen family, member 5 (prostate associated)"	"1"
"PAH"	"phenylalanine hydroxylase"	"1"
"PBRM1"	"polybromo 1"	"1"
"PBX1"	"pre-B-cell leukemia homeobox 1"	"1"
"PBX2"	"pre-B-cell leukemia homeobox 2"	"1"
"PCF11"	"PCF11, cleavage and polyadenylation factor subunit, homolog (S. cerevisiae)"	"1"
"PCGF1"	"polycomb group ring finger 1"	"1"
"PDIA6"	"protein disulfide isomerase family A, member 6"	"1"
"PDS5A"	"PDS5, regulator of cohesion maintenance, homolog A (S. cerevisiae)"	"1"
"PDZK1IP1"	"PDZK1 interacting protein 1"	"1"
"PGAP3"	"post-GPI attachment to proteins 3"	"1"
"PGC"	"progastricsin (pepsinogen C)"	"1"
"PHF6"	"PHD finger protein 6"	"1"
"PI3"	"peptidase inhibitor 3, skin-derived"	"1"
"PIAS1"	"protein inhibitor of activated STAT, 1"	"1"
"PIAS3"	"protein inhibitor of activated STAT, 3"	"1"
"PICALM"	"phosphatidylinositol binding clathrin assembly protein"	"1"
"PIK3C2B"	"phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 beta"	"1"
"PIK3C3"	"phosphatidylinositol 3-kinase, catalytic subunit type 3"	"1"
"PIK3R1"	"phosphoinositide-3-kinase, regulatory subunit 1 (alpha)"	"1"
"PIM1"	"pim-1 oncogene"	"1"
"PITX3"	"paired-like homeodomain 3"	"1"
"PIWIL2"	"piwi-like RNA-mediated gene silencing 2"	"1"
"PKD1"	"polycystic kidney disease 1 (autosomal dominant)"	"1"
"PLAC1"	"placenta-specific 1"	"1"
"PLEKHA6"	"pleckstrin homology domain containing, family A member 6"	"1"
"PLIN1"	"perilipin 1"	"1"
"PLS3"	"plastin 3"	"1"
"PLTP"	"phospholipid transfer protein"	"1"
"PMEPA1"	"prostate transmembrane protein, androgen induced 1"	"1"
"PNPLA6"	"patatin-like phospholipase domain containing 6"	"1"
"POLH"	"polymerase (DNA directed), eta"	"1"
"POLR2A"	"polymerase (RNA) II (DNA directed) polypeptide A, 220kDa"	"1"
"POPDC2"	"popeye domain containing 2"	"1"
"POU4F2"	"POU class 4 homeobox 2"	"1"
"PPP1R15B"	"protein phosphatase 1, regulatory subunit 15B"	"1"
"PPP2R2B"	"protein phosphatase 2, regulatory subunit B, beta"	"1"
"PPP6C"	"protein phosphatase 6, catalytic subunit"	"1"
"PRKCZ"	"protein kinase C, zeta"	"1"
"PRKDC"	"protein kinase, DNA-activated, catalytic polypeptide"	"1"
"PRPF18"	"PRP18 pre-mRNA processing factor 18 homolog (S. cerevisiae)"	"1"
"PSMB5"	"proteasome (prosome, macropain) subunit, beta type, 5"	"1"
"PTCH2"	"patched 2"	"1"
"RAC1"	"ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)"	"1"
"RAE1"	"RAE1 RNA export 1 homolog (S. pombe)"	"1"
"RAG2"	"recombination activating gene 2"	"1"
"RAX"	"retina and anterior neural fold homeobox"	"1"
"REL"	"v-rel reticuloendotheliosis viral oncogene homolog (avian)"	"1"
"RETN"	"resistin"	"1"
"RGL3"	"ral guanine nucleotide dissociation stimulator-like 3"	"1"
"RGS5"	"regulator of G-protein signaling 5"	"1"
"RHOB"	"ras homolog family member B"	"1"
"RNF43"	"ring finger protein 43"	"1"
"ROR2"	"receptor tyrosine kinase-like orphan receptor 2"	"1"
"RPN1"	"ribophorin I"	"1"
"RPRD1B"	"regulation of nuclear pre-mRNA domain containing 1B"	"1"
"RPS6"	"ribosomal protein S6"	"1"
"RSPH6A"	"radial spoke head 6 homolog A (Chlamydomonas)"	"1"
"RXRA"	"retinoid X receptor, alpha"	"1"
"RYR2"	"ryanodine receptor 2 (cardiac)"	"1"
"S100A1"	"S100 calcium binding protein A1"	"1"
"SARDH"	"sarcosine dehydrogenase"	"1"
"SCARB1"	"scavenger receptor class B, member 1"	"1"
"SCD"	"stearoyl-CoA desaturase (delta-9-desaturase)"	"1"
"SCN5A"	"sodium channel, voltage-gated, type V, alpha subunit"	"1"
"SDS"	"serine dehydratase"	"1"
"SERPINE1"	"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1"	"1"
"SETBP1"	"SET binding protein 1"	"1"
"SETD2"	"SET domain containing 2"	"1"
"SEZ6L"	"seizure related 6 homolog (mouse)-like"	"1"
"SFPQ"	"splicing factor proline/glutamine-rich"	"1"
"SFRP1"	"secreted frizzled-related protein 1"	"1"
"SGK1"	"serum/glucocorticoid regulated kinase 1"	"1"
"SH2B3"	"SH2B adaptor protein 3"	"1"
"SH3PXD2A"	"SH3 and PX domains 2A"	"1"
"SI"	"sucrase-isomaltase (alpha-glucosidase)"	"1"
"SKP2"	"S-phase kinase-associated protein 2, E3 ubiquitin protein ligase"	"1"
"SLC1A2"	"solute carrier family 1 (glial high affinity glutamate transporter), member 2"	"1"
"SLC4A1"	"solute carrier family 4, anion exchanger, member 1 (erythrocyte membrane protein band 3, Diego blood group)"	"1"
"SLC16A2"	"solute carrier family 16, member 2 (thyroid hormone transporter)"	"1"
"SMAD1"	"SMAD family member 1"	"1"
"SMARCA1"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1"	"1"
"SMARCA4"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"	"1"
"SMARCA5"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5"	"1"
"SMARCB1"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"	"1"
"SMC1B"	"structural maintenance of chromosomes 1B"	"1"
"SMC4"	"structural maintenance of chromosomes 4"	"1"
"SMCHD1"	"structural maintenance of chromosomes flexible hinge domain containing 1"	"1"
"SMN1"	"survival of motor neuron 1, telomeric"	"1"
"SMTNL1"	"smoothelin-like 1"	"1"
"SMYD3"	"SET and MYND domain containing 3"	"1"
"SNRPE"	"small nuclear ribonucleoprotein polypeptide E"	"1"
"SNTB2"	"syntrophin, beta 2 (dystrophin-associated protein A1, 59kDa, basic component 2)"	"1"
"SNX10"	"sorting nexin 10"	"1"
"SOCS2"	"suppressor of cytokine signaling 2"	"1"
"SOD2"	"superoxide dismutase 2, mitochondrial"	"1"
"SOX1"	"SRY (sex determining region Y)-box 1"	"1"
"SOX6"	"SRY (sex determining region Y)-box 6"	"1"
"SOX10"	"SRY (sex determining region Y)-box 10"	"1"
"SP100"	"SP100 nuclear antigen"	"1"
"SPOP"	"speckle-type POZ protein"	"1"
"SPR"	"sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)"	"1"
"SPTBN1"	"spectrin, beta, non-erythrocytic 1"	"1"
"SQSTM1"	"sequestosome 1"	"1"
"SRC"	"v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)"	"1"
"SREBF1"	"sterol regulatory element binding transcription factor 1"	"1"
"SRI"	"sorcin"	"1"
"SSRP1"	"structure specific recognition protein 1"	"1"
"STAT2"	"signal transducer and activator of transcription 2, 113kDa"	"1"
"STEAP3"	"STEAP family member 3, metalloreductase"	"1"
"STK11"	"serine/threonine kinase 11"	"1"
"SULT1A1"	"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1"	"1"
"SUMO1"	"SMT3 suppressor of mif two 3 homolog 1 (S. cerevisiae)"	"1"
"SUMO2"	"SMT3 suppressor of mif two 3 homolog 2 (S. cerevisiae)"	"1"
"SYCP1"	"synaptonemal complex protein 1"	"1"
"TAL2"	"T-cell acute lymphocytic leukemia 2"	"1"
"TAS2R7"	"taste receptor, type 2, member 7"	"1"
"TAS2R42"	"taste receptor, type 2, member 42"	"1"
"TBK1"	"TANK-binding kinase 1"	"1"
"TBL1XR1"	"transducin (beta)-like 1 X-linked receptor 1"	"1"
"TBX1"	"T-box 1"	"1"
"TCEA1"	"transcription elongation factor A (SII), 1"	"1"
"TFB2M"	"transcription factor B2, mitochondrial"	"1"
"TFF3"	"trefoil factor 3 (intestinal)"	"1"
"TFRC"	"transferrin receptor (p90, CD71)"	"1"
"TGFBR1"	"transforming growth factor, beta receptor 1"	"1"
"TGM2"	"transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)"	"1"
"THAP11"	"THAP domain containing 11"	"1"
"THEMIS"	"thymocyte selection associated"	"1"
"THRB"	"thyroid hormone receptor, beta"	"1"
"TIAM1"	"T-cell lymphoma invasion and metastasis 1"	"1"
"TIMM13"	"translocase of inner mitochondrial membrane 13 homolog (yeast)"	"1"
"TIMP1"	"TIMP metallopeptidase inhibitor 1"	"1"
"TLE1"	"transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)"	"1"
"TLE2"	"transducin-like enhancer of split 2 (E(sp1) homolog, Drosophila)"	"1"
"TLR4"	"toll-like receptor 4"	"1"
"TLX3"	"T-cell leukemia homeobox 3"	"1"
"TM4SF4"	"transmembrane 4 L six family member 4"	"1"
"TNFAIP1"	"tumor necrosis factor, alpha-induced protein 1 (endothelial)"	"1"
"TOP1"	"topoisomerase (DNA) I"	"1"
"TOPBP1"	"topoisomerase (DNA) II binding protein 1"	"1"
"TOX3"	"TOX high mobility group box family member 3"	"1"
"TP53INP1"	"tumor protein p53 inducible nuclear protein 1"	"1"
"TP63"	"tumor protein p63"	"1"
"TRAPPC9"	"trafficking protein particle complex 9"	"1"
"TRIB1"	"tribbles homolog 1 (Drosophila)"	"1"
"TRIM22"	"tripartite motif containing 22"	"1"
"TSPYL2"	"TSPY-like 2"	"1"
"U2AF1"	"U2 small nuclear RNA auxiliary factor 1"	"1"
"UBR5"	"ubiquitin protein ligase E3 component n-recognin 5"	"1"
"UHRF1"	"ubiquitin-like with PHD and ring finger domains 1"	"1"
"ULK1"	"unc-51-like kinase 1 (C. elegans)"	"1"
"USP36"	"ubiquitin specific peptidase 36"	"1"
"UVRAG"	"UV radiation resistance associated"	"1"
"VAV3"	"vav 3 guanine nucleotide exchange factor"	"1"
"VCAM1"	"vascular cell adhesion molecule 1"	"1"
"VCAN"	"versican"	"1"
"VEGFB"	"vascular endothelial growth factor B"	"1"
"VIPR2"	"vasoactive intestinal peptide receptor 2"	"1"
"VPS53"	"vacuolar protein sorting 53 homolog (S. cerevisiae)"	"1"
"VTN"	"vitronectin"	"1"
"WIPI1"	"WD repeat domain, phosphoinositide interacting 1"	"1"
"WRAP53"	"WD repeat containing, antisense to TP53"	"1"
"XPA"	"xeroderma pigmentosum, complementation group A"	"1"
"ZC3H11A"	"zinc finger CCCH-type containing 11A"	"1"
"ZCCHC24"	"zinc finger, CCHC domain containing 24"	"1"
"ZIC1"	"Zic family member 1"	"1"
"ZMYM3"	"zinc finger, MYM-type 3"	"1"
"ZNF274"	"zinc finger protein 274"	"1"
"ZNF384"	"zinc finger protein 384"	"1"
